backend,knot_points,sqp_budget_us,test_iters,tol_index,pcg_exit_tol,linsys_time_us
hip-nvidia,128,5000,1,2,0.0001,1156.52
hip-nvidia,128,5000,1,2,0.0001,1234.21
hip-nvidia,128,5000,1,2,0.0001,1109.53
hip-nvidia,128,5000,1,2,0.0001,1114.35
hip-nvidia,128,5000,1,2,0.0001,1133.39
hip-nvidia,128,5000,1,2,0.0001,1178.46
hip-nvidia,128,5000,1,2,0.0001,1115.3
hip-nvidia,128,5000,1,2,0.0001,681.886
hip-nvidia,128,5000,1,2,0.0001,1169.87
hip-nvidia,128,5000,1,2,0.0001,1173.92
hip-nvidia,128,5000,1,2,0.0001,1167.51
hip-nvidia,128,5000,1,2,0.0001,1171.39
hip-nvidia,128,5000,1,2,0.0001,1212.46
hip-nvidia,128,5000,1,2,0.0001,1082.75
hip-nvidia,128,5000,1,2,0.0001,1187.93
hip-nvidia,128,5000,1,2,0.0001,1217.62
hip-nvidia,128,5000,1,2,0.0001,1122.19
hip-nvidia,128,5000,1,2,0.0001,1185.08
hip-nvidia,128,5000,1,2,0.0001,1510.52
hip-nvidia,128,5000,1,2,0.0001,1269.48
hip-nvidia,128,5000,1,2,0.0001,1181.41
hip-nvidia,128,5000,1,2,0.0001,1124.79
hip-nvidia,128,5000,1,2,0.0001,1143.53
hip-nvidia,128,5000,1,2,0.0001,1164.93
hip-nvidia,128,5000,1,2,0.0001,1227.72
hip-nvidia,128,5000,1,2,0.0001,1194.25
hip-nvidia,128,5000,1,2,0.0001,1161.08
hip-nvidia,128,5000,1,2,0.0001,1267.98
hip-nvidia,128,5000,1,2,0.0001,1264.79
hip-nvidia,128,5000,1,2,0.0001,1211.56
hip-nvidia,128,5000,1,2,0.0001,654.969
hip-nvidia,128,5000,1,2,0.0001,227.414
hip-nvidia,128,5000,1,2,0.0001,334.908
hip-nvidia,128,5000,1,2,0.0001,371.366
hip-nvidia,128,5000,1,2,0.0001,191.956
hip-nvidia,128,5000,1,2,0.0001,393.55
hip-nvidia,128,5000,1,2,0.0001,1062.39
hip-nvidia,128,5000,1,2,0.0001,1164.54
hip-nvidia,128,5000,1,2,0.0001,668.547
hip-nvidia,128,5000,1,2,0.0001,1139.66
hip-nvidia,128,5000,1,2,0.0001,1199.23
hip-nvidia,128,5000,1,2,0.0001,1502.0
hip-nvidia,128,5000,1,2,0.0001,1124.92
hip-nvidia,128,5000,1,2,0.0001,360.773
hip-nvidia,128,5000,1,2,0.0001,222.412
hip-nvidia,128,5000,1,2,0.0001,986.958
