backend,knot_points,sqp_budget_us,test_iters,solver,label,tol_index,pcg_exit_tol,count,min,mean,median,q1,q3,p90,p99,max
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,73550.0,20.32,121.54820122365737,22.12,21.76,23.99,451.5710000000001,968.058,992.368
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=5e-05,1,5e-05,69915.0,20.34,144.80301022670386,22.13,21.76,34.27,749.0186,968.018,993.468
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=1e-05,0,1e-05,50997.0,20.2,306.9975283251956,26.0,21.96,837.118,886.768,968.048,992.448
hip-nvidia,128,5000,1,QDLDL,CPU QDLDL,,,47215.0,306.169,313.6585682939744,312.369,310.72450000000003,315.779,318.93,326.989,459.479
